id,effect_type,value,target,target_source,trigger_timing,duration_type,duration_value,duration_apply_policy,stack_initial,stack_max,stack_change_on_trigger,expire_policy,on_remove,comment
100001,100,"40,70",10,20,10,10,0,0,0,0,0,10,0,星光变身：获得70点魔力防御
100002,100,"30,3",10,20,10,50,0,10,0,0,0,20,20,星光变身：当前变身期间获得3点魔力上限
100003,100,"20,3",10,20,10,10,0,0,0,0,0,10,0,星光变身：获得3点当前魔力
100004,300,"300002,1",10,20,10,10,0,0,0,0,0,10,0,星光变身：附加1层变身状态
100101,200,"20,5",20,20,10,10,0,0,0,0,0,10,0,星光射击：造成5点魔力伤害
100201,100,"50,5",10,20,10,10,0,0,0,0,0,10,0,魔力防御：获得5点魔力护盾
100301,300,"300001,1",10,20,10,10,0,0,0,0,0,10,0,附加冰甲：给目标附加1层冰甲
200001,200,"10,5",30,30,10,10,0,0,0,0,0,10,0,堕落的学生：袭击造成5点普通伤害
200002,100,"60,8",30,30,10,10,0,0,0,0,0,10,0,堕落的学生：袭击提升8点发情值
200003,100,"50,6",10,30,10,10,0,0,0,0,0,10,0,堕落的学生：瘴气护盾，获得6点魔力护盾
200004,100,"70,10",30,30,10,10,0,0,0,0,0,10,0,堕落的学生：催眠光线提升10点敏感值
300001,100,"50,5",10,50,60,30,3,10,1,3,-1,40,0,冰甲：受到伤害前获得5点魔力护盾，然后层数-1；持续3回合或层数归零移除
300002,0,,10,50,10,60,0,0,1,1,0,50,10,变身状态：持续到魔力防御归零；移除时来源变身卡牌进入弃牌堆
